pico,large,micro,meso
12660000000000,4546000000000,10140000000000,8115000000000
13510000000000,6014000000000,11340000000000,8690000000000
15180000000000,7889000000000,12690000000000,10050000000000
15000000000000,9329000000000,13800000000000,12370000000000
16420000000000,7287000000000,12040000000000,14460000000000
16630000000000,6287000000000,11750000000000,13860000000000
15920000000000,6109000000000,11610000000000,12710000000000
15240000000000,6058000000000,11590000000000,11870000000000
15020000000000,5723000000000,11280000000000,11430000000000
14290000000000,5194000000000,10750000000000,10410000000000
13460000000000,4768000000000,10180000000000,9488000000000
12430000000000,4373000000000,9536000000000,8722000000000
12620000000000,4288000000000,9650000000000,8214000000000
13570000000000,5658000000000,11350000000000,8433000000000
14230000000000,8078000000000,12980000000000,9949000000000
15000000000000,8997000000000,13530000000000,12430000000000
16390000000000,7926000000000,12420000000000,14340000000000
17340000000000,6505000000000,11790000000000,14670000000000
16350000000000,5992000000000,11840000000000,13230000000000
15460000000000,5880000000000,11590000000000,12080000000000
15360000000000,5509000000000,11320000000000,11300000000000
14380000000000,5110000000000,10780000000000,10310000000000
13500000000000,4642000000000,10200000000000,9473000000000
12840000000000,4302000000000,9691000000000,8842000000000
12810000000000,4653000000000,10090000000000,8881000000000
13370000000000,5724000000000,11430000000000,9289000000000
14330000000000,7608000000000,12750000000000,10560000000000
15330000000000,8435000000000,13190000000000,12910000000000
16350000000000,7576000000000,12500000000000,14350000000000
16500000000000,6834000000000,12040000000000,14460000000000
16000000000000,6561000000000,12090000000000,13550000000000
15600000000000,6564000000000,12180000000000,12970000000000
15310000000000,6193000000000,11790000000000,12440000000000
14410000000000,5665000000000,11340000000000,11380000000000
13520000000000,5421000000000,10790000000000,10840000000000
12720000000000,4773000000000,9971000000000,10070000000000
12530000000000,4786000000000,9955000000000,9400000000000
13320000000000,5405000000000,11220000000000,9688000000000
13900000000000,6706000000000,12500000000000,10550000000000
14710000000000,7252000000000,12670000000000,12030000000000
15910000000000,6918000000000,12100000000000,12760000000000
15840000000000,6430000000000,12000000000000,12490000000000
15490000000000,6367000000000,11760000000000,11940000000000
15210000000000,6168000000000,11610000000000,11440000000000
15120000000000,5857000000000,11350000000000,11190000000000
14560000000000,5268000000000,10920000000000,10520000000000
13470000000000,4701000000000,10250000000000,9519000000000
12590000000000,4194000000000,9488000000000,8627000000000
12680000000000,4473000000000,9995000000000,8137000000000
13290000000000,5469000000000,11470000000000,8457000000000
14060000000000,7034000000000,12660000000000,9779000000000
14780000000000,8339000000000,13070000000000,11640000000000
16000000000000,7299000000000,11850000000000,13320000000000
16770000000000,6053000000000,11240000000000,12650000000000
15650000000000,5861000000000,11480000000000,11610000000000
15320000000000,5859000000000,11520000000000,11110000000000
15140000000000,5672000000000,11390000000000,10940000000000
14670000000000,5112000000000,10750000000000,10500000000000
13570000000000,4558000000000,10080000000000,9388000000000
12440000000000,4131000000000,9357000000000,8487000000000
12530000000000,4048000000000,9502000000000,7878000000000
12950000000000,5142000000000,11140000000000,7989000000000
14150000000000,7122000000000,12370000000000,9233000000000
15130000000000,8405000000000,13140000000000,11550000000000
15890000000000,7271000000000,12280000000000,13240000000000
16750000000000,6213000000000,11090000000000,12850000000000
15940000000000,5680000000000,11230000000000,11580000000000
15430000000000,5702000000000,11430000000000,11000000000000
15250000000000,5521000000000,11290000000000,10840000000000
14550000000000,5004000000000,10740000000000,10210000000000
13390000000000,4393000000000,9956000000000,8908000000000
12560000000000,4089000000000,9382000000000,8121000000000
12500000000000,3964000000000,9409000000000,7597000000000
13860000000000,5230000000000,11410000000000,7873000000000
14670000000000,7829000000000,13320000000000,9400000000000
15100000000000,9149000000000,13380000000000,12070000000000
16510000000000,7191000000000,11960000000000,13690000000000
17100000000000,5905000000000,11240000000000,13220000000000
16290000000000,5580000000000,11490000000000,12000000000000
15400000000000,5511000000000,11450000000000,11050000000000
15020000000000,5365000000000,11280000000000,10490000000000
14290000000000,5014000000000,10750000000000,9976000000000
13420000000000,4568000000000,10060000000000,9164000000000
12650000000000,4181000000000,9532000000000,8577000000000
12370000000000,4116000000000,9588000000000,8020000000000
13370000000000,4844000000000,11010000000000,8093000000000
14600000000000,7186000000000,13260000000000,9256000000000
14930000000000,8728000000000,13440000000000,11710000000000
16350000000000,7441000000000,12230000000000,13450000000000
16590000000000,6339000000000,11520000000000,13460000000000
16110000000000,5619000000000,11360000000000,12160000000000
15330000000000,5539000000000,11400000000000,11160000000000
14840000000000,5262000000000,11140000000000,10480000000000
14250000000000,4858000000000,10780000000000,9535000000000
13290000000000,4399000000000,10000000000000,8889000000000
12560000000000,3842000000000,9344000000000,8185000000000
12730000000000,4010000000000,10020000000000,7908000000000
13500000000000,5594000000000,11760000000000,8693000000000
13950000000000,7104000000000,12710000000000,10130000000000
15030000000000,7469000000000,12850000000000,11960000000000
16240000000000,6991000000000,12560000000000,13360000000000
16540000000000,6114000000000,11660000000000,13170000000000
15850000000000,5605000000000,11300000000000,12030000000000
15260000000000,5488000000000,11350000000000,11030000000000
14850000000000,4983000000000,11030000000000,10110000000000
13990000000000,4637000000000,10590000000000,9227000000000
13210000000000,4116000000000,9842000000000,8308000000000
12220000000000,3603000000000,9122000000000,7408000000000
12480000000000,3836000000000,9513000000000,7234000000000
13720000000000,5037000000000,11250000000000,7869000000000
14160000000000,7039000000000,12970000000000,9066000000000
14970000000000,7892000000000,12980000000000,11230000000000
15910000000000,6982000000000,12260000000000,13250000000000
16890000000000,5998000000000,11840000000000,13120000000000
15920000000000,5754000000000,11680000000000,12340000000000
15440000000000,5718000000000,11590000000000,11440000000000
15180000000000,5551000000000,11450000000000,11110000000000
14390000000000,5133000000000,11020000000000,10430000000000
13600000000000,4705000000000,10400000000000,9788000000000
12570000000000,4178000000000,9668000000000,8745000000000
12500000000000,4364000000000,9780000000000,8401000000000
12990000000000,5216000000000,10880000000000,8726000000000
14540000000000,6581000000000,12460000000000,9709000000000
14490000000000,7702000000000,13600000000000,11830000000000
16300000000000,7023000000000,12390000000000,13180000000000
16040000000000,6330000000000,11730000000000,13130000000000
15800000000000,5904000000000,11500000000000,12160000000000
15280000000000,5941000000000,11690000000000,11460000000000
14920000000000,5618000000000,11350000000000,11140000000000
14400000000000,5168000000000,10950000000000,10300000000000
13340000000000,4672000000000,10210000000000,9497000000000
12520000000000,4209000000000,9487000000000,8632000000000
12530000000000,4318000000000,9841000000000,8213000000000
13840000000000,5536000000000,11620000000000,8486000000000
13910000000000,7367000000000,13170000000000,9771000000000
14780000000000,7650000000000,12520000000000,11920000000000
16260000000000,6811000000000,12090000000000,13010000000000
16080000000000,6319000000000,11740000000000,13250000000000
15810000000000,5845000000000,11530000000000,12180000000000
15270000000000,5908000000000,11630000000000,11470000000000
14910000000000,5384000000000,11110000000000,10780000000000
14180000000000,4721000000000,10480000000000,9485000000000
13320000000000,4292000000000,9960000000000,8498000000000
12630000000000,4020000000000,9476000000000,7925000000000
13250000000000,4125000000000,10160000000000,7799000000000
14060000000000,5929000000000,11890000000000,8690000000000
16250000000000,8391000000000,13580000000000,10510000000000
15640000000000,9186000000000,13580000000000,13550000000000
17970000000000,7996000000000,13310000000000,15860000000000
17350000000000,7107000000000,12570000000000,15710000000000
16870000000000,6514000000000,11990000000000,14380000000000
16330000000000,6400000000000,12220000000000,13600000000000
15580000000000,6049000000000,11910000000000,12730000000000
14650000000000,5593000000000,11410000000000,11610000000000
13690000000000,5182000000000,10740000000000,10670000000000
12920000000000,4982000000000,10250000000000,10170000000000
13140000000000,5054000000000,10650000000000,10140000000000
13670000000000,6165000000000,11570000000000,10710000000000
14760000000000,7334000000000,13160000000000,11810000000000
15160000000000,8340000000000,13340000000000,13620000000000
16120000000000,7736000000000,13140000000000,14510000000000
16220000000000,6993000000000,12170000000000,14280000000000
16040000000000,6491000000000,11930000000000,13140000000000
15520000000000,6332000000000,12020000000000,12370000000000
15250000000000,5932000000000,11780000000000,11920000000000
14570000000000,5535000000000,11370000000000,11140000000000
13490000000000,4937000000000,10530000000000,10050000000000
12630000000000,4575000000000,9844000000000,9356000000000
12700000000000,4573000000000,10040000000000,9058000000000
13190000000000,5260000000000,11360000000000,9241000000000
14540000000000,7099000000000,13120000000000,10360000000000
15100000000000,8062000000000,12960000000000,12160000000000
16320000000000,7153000000000,12420000000000,13600000000000
16260000000000,6557000000000,12080000000000,13360000000000
15950000000000,6448000000000,11910000000000,12660000000000
15480000000000,6217000000000,11800000000000,12060000000000
15310000000000,5843000000000,11580000000000,11780000000000
14440000000000,5408000000000,11000000000000,11040000000000
13390000000000,4975000000000,10420000000000,9961000000000
12470000000000,4519000000000,9712000000000,9198000000000
12610000000000,4808000000000,9994000000000,8910000000000
13730000000000,5815000000000,11560000000000,9172000000000
13770000000000,7405000000000,13040000000000,10540000000000
15100000000000,8190000000000,13010000000000,12470000000000
16000000000000,7395000000000,12350000000000,13650000000000
15990000000000,6960000000000,12050000000000,13480000000000
15810000000000,6517000000000,11610000000000,12760000000000
15490000000000,6290000000000,11610000000000,12100000000000
15290000000000,6273000000000,11670000000000,12100000000000
14760000000000,5591000000000,10990000000000,11490000000000
13410000000000,5165000000000,10410000000000,10280000000000
12640000000000,4684000000000,9707000000000,9300000000000
12530000000000,4874000000000,9960000000000,9021000000000
13580000000000,5845000000000,11790000000000,9166000000000
13630000000000,7462000000000,12480000000000,10310000000000
14920000000000,8174000000000,12780000000000,12110000000000
15800000000000,7653000000000,12300000000000,13550000000000
16860000000000,6481000000000,11480000000000,13540000000000
16040000000000,6215000000000,11600000000000,12540000000000
15210000000000,6257000000000,11660000000000,12000000000000
15190000000000,5909000000000,11360000000000,11780000000000
14470000000000,5312000000000,10810000000000,10880000000000
13380000000000,4768000000000,10190000000000,9635000000000
12500000000000,4536000000000,9702000000000,8892000000000
12840000000000,4814000000000,10040000000000,8809000000000
14200000000000,5905000000000,11750000000000,9052000000000
14190000000000,8416000000000,13490000000000,10520000000000
15260000000000,8662000000000,12610000000000,12950000000000
16580000000000,7566000000000,12120000000000,14490000000000
16730000000000,6845000000000,12170000000000,14390000000000
16140000000000,6641000000000,11950000000000,13690000000000
15530000000000,6539000000000,11950000000000,12820000000000
15230000000000,6219000000000,11680000000000,12460000000000
14570000000000,5791000000000,11210000000000,11560000000000
13460000000000,5218000000000,10450000000000,10470000000000
12530000000000,4789000000000,9735000000000,9567000000000
12740000000000,4889000000000,10130000000000,9137000000000
13340000000000,5838000000000,11380000000000,9469000000000
14020000000000,7536000000000,12350000000000,10690000000000
14870000000000,8095000000000,12760000000000,12700000000000
16320000000000,7567000000000,12450000000000,13970000000000
16280000000000,6886000000000,11830000000000,13930000000000
15870000000000,6483000000000,11850000000000,13030000000000
15300000000000,6317000000000,11750000000000,12170000000000
14910000000000,5993000000000,11440000000000,11540000000000
14470000000000,5402000000000,10890000000000,10570000000000
13290000000000,4895000000000,10170000000000,9623000000000
12520000000000,4333000000000,9452000000000,8758000000000
12660000000000,4536000000000,9883000000000,8387000000000
13210000000000,5706000000000,11430000000000,8685000000000
13900000000000,7507000000000,12500000000000,10230000000000
15590000000000,8569000000000,13300000000000,11940000000000
16170000000000,7765000000000,12110000000000,14170000000000
16810000000000,6779000000000,11810000000000,13830000000000
15790000000000,6462000000000,11680000000000,13010000000000
15530000000000,6384000000000,11800000000000,12260000000000
15310000000000,6126000000000,11620000000000,12180000000000
14530000000000,5582000000000,11070000000000,11220000000000
13570000000000,4960000000000,10390000000000,10210000000000
12560000000000,4554000000000,9751000000000,9325000000000
12850000000000,4923000000000,10140000000000,8925000000000
13710000000000,6182000000000,11990000000000,9728000000000
14210000000000,7746000000000,12820000000000,11200000000000
14860000000000,7928000000000,12830000000000,12680000000000
16130000000000,6969000000000,12140000000000,13470000000000
16040000000000,6678000000000,11800000000000,13100000000000
15910000000000,6196000000000,11670000000000,12240000000000
15160000000000,6107000000000,11550000000000,11690000000000
15130000000000,5735000000000,11220000000000,11300000000000
14350000000000,5193000000000,10740000000000,10170000000000
13240000000000,4726000000000,10110000000000,9253000000000
12450000000000,4133000000000,9343000000000,8257000000000
12600000000000,4425000000000,9872000000000,7890000000000
13590000000000,5963000000000,11780000000000,8866000000000
14500000000000,7981000000000,13360000000000,10600000000000
15030000000000,8248000000000,12790000000000,12870000000000
16950000000000,7263000000000,12130000000000,13890000000000
16260000000000,6890000000000,11980000000000,13920000000000
16030000000000,6405000000000,11780000000000,12860000000000
15460000000000,6358000000000,11840000000000,12460000000000
15340000000000,6279000000000,11790000000000,12350000000000
14690000000000,5828000000000,11330000000000,11810000000000
13530000000000,5148000000000,10550000000000,10660000000000
12620000000000,4791000000000,10040000000000,9612000000000
12850000000000,4865000000000,10390000000000,9310000000000
13330000000000,5798000000000,11800000000000,9608000000000
14210000000000,7242000000000,12980000000000,10820000000000
14920000000000,8032000000000,12930000000000,12380000000000
16290000000000,6799000000000,11970000000000,13120000000000
16090000000000,6838000000000,12310000000000,12990000000000
15670000000000,6497000000000,11790000000000,12450000000000
15610000000000,6379000000000,11780000000000,11910000000000
15440000000000,6076000000000,11640000000000,11870000000000
14720000000000,5611000000000,11240000000000,11380000000000
13590000000000,4918000000000,10430000000000,10210000000000
12460000000000,4554000000000,9789000000000,9203000000000
12750000000000,4699000000000,10160000000000,8755000000000
13570000000000,5591000000000,11770000000000,9099000000000
14020000000000,7513000000000,13650000000000,10390000000000
14690000000000,8481000000000,13250000000000,12300000000000
15930000000000,7654000000000,11920000000000,13420000000000
16550000000000,6613000000000,11340000000000,12950000000000
16000000000000,6022000000000,11330000000000,11980000000000
15450000000000,6103000000000,11680000000000,11400000000000
15120000000000,5782000000000,11210000000000,11190000000000
14340000000000,5259000000000,10800000000000,10190000000000
13460000000000,4678000000000,10080000000000,9205000000000
12410000000000,4231000000000,9426000000000,8381000000000
12950000000000,4410000000000,10050000000000,8021000000000
13760000000000,5874000000000,11690000000000,8479000000000
14620000000000,8305000000000,13330000000000,10020000000000
15110000000000,9470000000000,13740000000000,12680000000000
16480000000000,7688000000000,12140000000000,14660000000000
17280000000000,6615000000000,11860000000000,14320000000000
16510000000000,6505000000000,11950000000000,13790000000000
16040000000000,6626000000000,12060000000000,13390000000000
15560000000000,6340000000000,11880000000000,12840000000000
14730000000000,5924000000000,11470000000000,11930000000000
13600000000000,5457000000000,10820000000000,11120000000000
12760000000000,5045000000000,10150000000000,10510000000000
12570000000000,4885000000000,10010000000000,9798000000000
